City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,ust-nera,64.5667,143.2,10.29,70,96,2.18,RU,1722877289
208,buellton,34.6136,-120.1927,24.27,23,5,1.07,US,1722877290
209,ghat,24.9647,10.1728,40.03,8,0,9.54,LY,1722877291
210,udachny,66.4167,112.4,8.84,84,77,7.71,RU,1722877234
211,kurchatov,51.6601,35.6521,22.23,60,100,1.34,RU,1722877293
212,manokwari,-0.8667,134.0833,26.11,80,76,3.41,ID,1722877294
213,geraldton,-28.7667,114.6,9.23,93,14,5.14,AU,1722877296
214,coronel oviedo,-25.4167,-56.45,33.11,27,24,4.67,PY,1722877297
215,saldanha,-33.0117,17.9442,13.03,76,4,4.41,ZA,1722877298
216,haikou,20.0458,110.3417,28.07,83,0,1.0,CN,1722877299
217,puerto quijarro,-17.7833,-57.7667,37.96,17,0,2.96,BO,1722877300
218,lompoc,34.6391,-120.4579,17.23,90,100,0.0,US,1722877301
219,quellon,-43.1167,-73.6167,7.9,91,100,8.58,CL,1722877297
220,idri,27.5,13.2667,41.0,8,0,4.01,LY,1722877303
221,san mariano,7.5,126.0,22.82,88,99,0.93,PH,1722877305
222,saint-pierre,-21.3393,55.4781,20.82,73,0,3.09,RE,1722877307
223,al muwayh,22.4333,41.7583,30.68,36,99,6.74,SA,1722877308
224,ringkobing,56.0901,8.244,19.99,64,43,3.09,DK,1722877310
225,wewak,-3.5534,143.6268,25.79,88,66,3.37,PG,1722877311
226,nagqu,31.5,92.0,5.71,81,6,1.53,CN,1722877313
227,hermanus,-34.4187,19.2345,12.1,76,15,5.61,ZA,1722877314
228,hakui,36.8833,136.7833,27.36,95,55,2.68,JP,1722877315
229,gatesville,31.4352,-97.7439,34.38,49,0,0.0,US,1722877316
230,hirara,24.8,125.2833,26.92,100,75,12.35,JP,1722877317
231,sinabang,2.4803,96.3801,26.28,83,69,1.47,ID,1722877318
232,burang,30.25,81.1667,11.73,71,89,2.77,CN,1722877319
233,terenozek,45.05,64.9833,28.54,25,3,1.87,KZ,1722877320
234,mahibadhoo,3.7833,72.9667,28.21,71,100,2.39,MV,1722877321
235,santiago de cuba,20.0247,-75.8219,34.22,53,29,2.72,CU,1722877325
236,manaure,11.7751,-72.4445,31.5,59,96,6.17,CO,1722877326
237,kalemie,-5.9475,29.1947,23.27,42,10,0.54,CD,1722877327
238,scarborough,54.2797,-0.4044,24.88,71,51,2.68,GB,1722876849
239,pariaman,-0.619,100.12,26.03,90,100,1.6,ID,1722877330
240,vilyuchinsk,52.9306,158.4028,12.15,88,100,0.81,RU,1722877331
241,holualoa,19.6228,-155.9522,21.97,89,100,0.56,US,1722877332
242,nicoya,10.1483,-85.452,29.35,72,17,1.6,CR,1722877333
243,praia da vitoria,38.7333,-27.0667,28.14,69,20,4.55,PT,1722877334
244,namibe,-15.1961,12.1522,17.6,86,10,5.13,AO,1722877335
245,duong dong,10.2167,103.9667,28.0,89,40,3.09,VN,1722877336
246,st. john's,47.5649,-52.7093,22.93,90,100,10.29,CA,1722877337
247,kuhmo,64.1333,29.5167,17.15,64,100,2.05,FI,1722877339
248,hadibu,12.65,54.0333,25.57,80,88,7.98,YE,1722877340
249,gadzhiyevo,69.2551,33.3362,13.74,70,0,4.33,RU,1722877341
250,kingston,17.997,-76.7936,33.53,66,20,8.75,JM,1722877184
251,qarqaraly,49.4058,75.4742,16.01,56,9,0.95,KZ,1722877343
252,fu'an,27.0892,119.6453,25.6,98,100,0.33,CN,1722877344
253,chichiriviche,10.9333,-68.2772,28.8,71,100,3.52,VE,1722877345
254,iskateley,67.6803,53.1512,9.2,75,4,6.84,RU,1722877346
255,xining,36.6167,101.7667,15.38,85,21,1.73,CN,1722877347
256,obock,12.25,43.0833,28.62,56,100,11.48,DJ,1722877349
257,tazovsky,67.4667,78.7,9.23,65,96,5.97,RU,1722877350
258,mitu,1.1983,-70.1733,28.43,78,100,1.23,CO,1722877201
259,kapa'a,22.0752,-159.319,25.05,73,60,1.34,US,1722877352
260,kargasok,59.0556,80.8572,15.79,91,31,1.47,RU,1722877353
261,muroto-misakicho,33.2833,134.15,28.38,85,24,2.81,JP,1722877354
